topic_id,topic_name,topic_description,highest_keyword_score,articles,datasets_all,datasets_en
https://openalex.org/T11881,Crystallization and Solubility Studies,"This cluster of papers focuses on the crystallization processes and control, including topics such as nucleation, solubility, polymorphism, ultrasound-assisted crystallization, process analytical technology, crystal growth, pharmaceutical crystallization, continuous crystallization, and crystal engineering.",0.28924902677536013,3891,722250,722247
https://openalex.org/T11475,French Urban and Social Studies,"This cluster of papers explores the intersection of territorial governance, environmental participation, and sustainable development. It delves into topics such as citizen participation, local development, social justice, and community engagement in the context of rural territories. The papers also discuss the role of proximity and innovation in shaping public policy for sustainable and inclusive development.",0.43390587738582065,2840,1187,254
https://openalex.org/T13445,American Constitutional Law and Politics,"This cluster of papers explores the development of American political thought and history, focusing on topics such as the American founding, constitutional government, religious freedom, public opinion, separation of church and state, presidential prerogative, early republic, federalism, political philosophy, and nationalism.",0.23199055194854737,6978,1218,1072
https://openalex.org/T10165,Classical Antiquity Studies,"This cluster of papers explores various aspects of ancient Mediterranean civilizations, including the society, economy, literature, and religious practices of Ancient Rome and Greek societies. It covers topics such as demography, economic growth, poetry, religious beliefs, and social structures during the Classical Antiquity and Late Antiquity periods.",0.3795846973146711,5996,1050,878
https://openalex.org/T10362,Biblical Studies and Interpretation,"This cluster of papers focuses on biblical studies, ancient Judaism, early Christianity, and Christian theology. It explores topics such as biblical monotheism, Jewish society, Christian identity in the ancient world, the Hebrew Bible, early Christian literature, Iron Age chronology, theology, and the Dead Sea Scrolls.",0.2700879463127681,11112,242,227
https://openalex.org/T13641,Historical Studies and Socio-cultural Analysis,"This cluster of papers covers a wide range of topics related to the history of science and technology, including scientific institutions, technological development, innovation, intellectual exchange, and the cultural impact of scientific advancements. It explores historical narratives, cross-disciplinary studies, and the transmission of knowledge on a global scale.",0.3272181579044887,4009,353,229
https://openalex.org/T13624,Social Sciences and Policies,"This cluster of papers covers a wide range of topics related to social work, welfare state, and community intervention in Spain. It includes discussions on gender differences, the impact of economic crisis, family support for vulnerable populations, migrant integration, and ethical challenges in social work practice. The papers also explore the role of the third sector, participation in social policies, and the evolving landscape of social welfare in Spain.",0.3029775097256615,2392,563,194
https://openalex.org/T12983,Satellite Image Processing and Photogrammetry,"This cluster of papers focuses on the geometric processing and accuracy assessment of remote sensing imagery, particularly from high-resolution satellite sensors. Topics include rational function models, orthorectification, DEM generation, sensor calibration, and geopositioning accuracy.",0.351882198878697,1797,289528,240327
https://openalex.org/T11893,German Literature and Culture Studies,"This cluster of papers encompasses a wide range of topics in literary studies and criticism, including authorship, bildungsroman, literature critique, gender, aesthetics, cultural memory, poetics, romanticism, and identity.",0.30847978591918945,609,6,5
https://openalex.org/T13396,Agriculture and Rural Development Research,"This cluster of papers explores the evolution, sustainability, and adaptation of livestock farming systems, with a focus on work organization, diversity, multifunctionality, and the challenges faced by smallholder farmers. It delves into topics such as agricultural development, agroecology, and the impact of climate change on livestock farming. The papers also discuss strategies for enhancing the sustainability and resilience of livestock farming systems.",0.46364244676771615,6552,1949,1456
